id,icao_code,iata_code,name,type,city_id,country_id,continent_id,website_url,created_at,updated_at,latitude_deg,longitude_deg,elevation_ft,wikipedia_link
1,NTGA,AAA,Anaa Airport,medium_airport,47868,198,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-17.3526,-145.509995,10,https://en.wikipedia.org/wiki/Anaa_Airport
2,YARY,AAB,Arrabury Airport,small_airport,47869,9,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-26.69639,141.048718,334,https://en.wikipedia.org/wiki/Arrabury_Airport
3,HEAR,AAC,El Arish International Airport,medium_airport,47870,51,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,31.078565,33.836791,118,https://en.wikipedia.org/wiki/El_Arish_International_Airport
4,AAD,AAD,Adado Airport,small_airport,47871,162,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,6.095802,46.6375,1001,https://en.wikipedia.org/wiki/Adado_Airport
5,DABB,AAE,Annaba Rabah Bitat Airport,medium_airport,2074,3,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,36.826781,7.81334,16,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport
6,KAAF,AAF,Apalachicola Regional Airport,small_airport,47872,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,29.72750092,-85.02749634,20,https://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport
7,SSYA,AAG,Avelino Vieira Airport,small_airport,2421,24,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-24.103901,-49.789101,2641,https://en.wikipedia.org/wiki/Arapoti_Airport
8,EDKA,AAH,Aachen-Merzbrück Airport,small_airport,26,64,3,https://www.flugplatz-aachen.de,2024-06-27 0:00:00,2024-06-27 0:00:00,50.823055,6.186389,623,https://en.wikipedia.org/wiki/Aachen_Merzbr%C3%BCck_Airfield
9,SWRA,AAI,Arraias Airport,small_airport,2642,24,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-13.025154,-46.884107,1923,https://en.wikipedia.org/wiki/Arraias_Airport
10,SR-AAJ,AAJ,Cayana Airstrip,small_airport,47873,168,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,3.898681,-55.577907,360,https://en.wikipedia.org/wiki/Cayana_Airstrip
11,NGUK,AAK,Aranuka Airport,small_airport,47874,89,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,0.185278,173.636993,6,https://en.wikipedia.org/wiki/Aranuka_Airport
12,EKYT,AAL,Aalborg Airport,medium_airport,28,46,3,http://www.aal.dk,2024-06-27 0:00:00,2024-06-27 0:00:00,57.094763,9.84993,10,https://en.wikipedia.org/wiki/Aalborg_Airport
13,FAMD,AAM,Malamala Airport,medium_airport,47875,163,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,-24.816866,31.544085,1124,https://en.wikipedia.org/wiki/Mala_Mala_Airport
14,OMAL,AAN,Al Ain International Airport,medium_airport,47876,186,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,24.26169968,55.60919952,869,https://en.wikipedia.org/wiki/Al_Ain_International_Airport
15,SVAN,AAO,Anaco Airport,medium_airport,1782,193,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,9.430225,-64.470726,721,https://en.wikipedia.org/wiki/Anaco_Airport
16,WALS,AAP,Aji Pangeran Tumenggung Pranoto International Airport,medium_airport,36569,77,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,-0.374478,117.250128,82,https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport
17,URKA,AAQ,Anapa Vityazevo Airport,medium_airport,47877,145,3,http://basel.aero/en/anapa/,2024-06-27 0:00:00,2024-06-27 0:00:00,45.002102,37.347301,174,https://en.wikipedia.org/wiki/Anapa_Airport
18,EKAH,AAR,Aarhus Airport,medium_airport,36,46,3,http://www.aar.dk/default.asp?id=87,2024-06-27 0:00:00,2024-06-27 0:00:00,56.303331,10.618286,82,https://en.wikipedia.org/wiki/Aarhus_Airport
